2023-08-11 22:49:02 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2023-08-11 22:49:02 [main] INFO  c.g.m.d.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2023-08-11 22:49:03 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2023-08-11 22:49:03 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-08-11 22:49:03 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-08-11 22:49:03 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-11 22:49:03 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2023-08-11 22:49:03 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-11 22:49:03 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 510 ms
2023-08-11 22:49:03 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-08-11 22:49:04 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2023-08-11 22:49:04 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2023-08-11 22:49:04 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2023-08-11 22:49:04 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5072e638, org.springframework.security.web.context.SecurityContextPersistenceFilter@61b8c9de, org.springframework.security.web.header.HeaderWriterFilter@fde487b, org.springframework.security.web.csrf.CsrfFilter@495da9a7, org.springframework.security.web.authentication.logout.LogoutFilter@ce2eaa7, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4fedf908, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@2abedbbd, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@3129299f, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@17befef0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5b490d5e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@246df37b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2f73f0c7, org.springframework.security.web.session.SessionManagementFilter@3add5e17, org.springframework.security.web.access.ExceptionTranslationFilter@4ec427, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2e3900dc]
2023-08-11 22:49:04 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2023-08-11 22:49:04 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-08-11 22:49:04 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-08-11 22:49:04 [main] INFO  c.g.m.d.config.server.ConfigServer - Started ConfigServer in 2.868 seconds (JVM running for 3.114)
2023-08-11 22:49:07 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
