2023-08-03 18:21:22 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2023-08-03 18:21:40 [main] INFO  c.g.m.d.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2023-08-03 18:21:56 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2023-08-03 18:22:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-08-03 18:22:01 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-08-03 18:22:01 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-03 18:22:01 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2023-08-03 18:22:02 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-03 18:22:02 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 22067 ms
2023-08-03 18:22:10 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-08-03 18:22:31 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2023-08-03 18:22:31 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2023-08-03 18:22:31 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2023-08-03 18:22:31 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45bf93bb, org.springframework.security.web.context.SecurityContextPersistenceFilter@3e4f2300, org.springframework.security.web.header.HeaderWriterFilter@6e49b011, org.springframework.security.web.csrf.CsrfFilter@cf984d9, org.springframework.security.web.authentication.logout.LogoutFilter@738a39cc, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@18cbc3c2, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5e8f0f98, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@6b7c4734, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5c997de8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@25e6c22a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@e91facf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2f6e92ca, org.springframework.security.web.session.SessionManagementFilter@19a7906c, org.springframework.security.web.access.ExceptionTranslationFilter@62883f8a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2328ec73]
2023-08-03 18:22:32 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2023-08-03 18:22:32 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-08-03 18:22:32 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-08-03 18:22:33 [main] INFO  c.g.m.d.config.server.ConfigServer - Started ConfigServer in 79.158 seconds (JVM running for 91.797)
2023-08-03 18:24:33 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
